0,1,2,3,4,5,6
,,,,,,
,Prepayments,,79,,120,
,Raw materials and consumables,,2 854,,3 207,
,Work in progress,,508,,588,
,Finished goods,,1 407,,1 434,
,Goods purchased for resale,,171,,234,
,Inventories,,5 019,,5 583,
,,,,,,
,Inventories other than work in progress,,,,,
,Inventories stated at net realizable value,,259,,323,
