0,1,2,3,4,5,6,7,8
,,,,,,,,
,Short-term bank deposits,,,4 964,,,4 201,
,Cash and bank accounts,,,6 210,,,6 131,
,Cash and cash equivalents,,,11 174,,,10 332,
,.,,,,,,,
,Bank overdrafts,,,-,,,(17),
,Cash and cash equivalents in the statement of cash flows,,11 174,,,,10 314,
