0,1,2,3,4,5,6,7
,.,,,,,,
,Profit attributable to equity holders of AB InBev,,5 855,,,5 341,
,Net impact of non-underlying items on profit (refer to Note 8),,,,,,
,"Profit before non-underlying items, attributable to equity holders of AB InBev",,,,,,
,Hyperinflation impacts,,,,,,
,Underlying profit,,,7 061,,6 158,
