0,1,2,3,4
,,,,
,Acquisition cost,,,
,Balance at end of previous year,,,
,Effect of movements in foreign exchange,,,
,Acquisitions through business combinations,,,
,Acquisitions and expenditures,,,
,Disposals through sale and derecognition,,,
,Transfer (to)/from other asset categories,,,
,and other movements¹,,,
,Balance at end of period,,,
,,,,
,Amortization and impairment losses,,,
,Balance at end of previous year,,,
,Effect of movements in foreign exchange,,,
,Amortization,,,
,Impairment,,,
,Disposals through sale and derecognition,,,
,Transfer to/(from) other asset categories,,,
,and other movements¹,,,
,Balance at end of period,,,
,,,,
,Carrying value,,,
,at 31 December 2023,,,
,at 31 December 2024,,,
