0,1,2,3,4,5,6,7,8
,,,,,,,,
,Balance at 1 January 2024,,,,,,,
,Proceeds from borrowings,,,5 337,,,128,
,Repayments of borrowings,,,,,,,
,Capitalization / (payment) of lease liabilities,,,416,,,,
,Amortized cost,,,63,,,1,
,Unrealized foreign exchange effects,,,,,,,
,Current portion of long-term debt,,(1 302),,,,1 302,
,(Gain)/Loss on bond redemption and other movements,,(338),,,,152,
,Balance at 31 December 2024,,,,,,,
,.,,,,,,,
