0,1,2,3,4,5,6
,,,,,,
,"Property, plant and equipment owned",,21 295,,24 092,
,"Property, plant and equipment leased (right-of-use assets)",,2 209,,2 726,
,"Total property, plant and equipment",,23 503,,26 818,
