0,1,2,3,4,5,6,7,8
,,,,,,,,
,Re-measurements of post-employment benefits,,,(48),,,(13),
,"Exchange differences, cash flow and net investment hedges",,,10,,,(41),
,Income tax (losses)/gains,,,(38),,,(54),
