0,1,2,3,4,5,6
,,,,,,
,Net foreign exchange gains/(losses),,,,,
,Net gains/(losses) on hedging instruments,,,,,
,Hyperinflation monetary adjustments,,,,,
,"Other financial income/(expense),",,,,,
,including bank fees and taxes,,,,,
