0,1,2,3,4,5,6,7
,.,,,,,,
,"Issued ordinary and restricted shares at 1 January, net of treasury shares",,,,,,
,Effect of stock lending,,,,,,
,Effect of delivery of treasury shares and share buyback programs,,,,,,
,Weighted average number of ordinary and restricted shares at 31 December,,,2 003,,2 016,
