0,1,2,3,4,5,6,7,8
,,,,,,,,
,Balance at 1 January 2023,,,,,,,
,Proceeds from borrowings,,,59,,,143,
,Repayments of borrowings,,,,,,,
,Capitalization / (payment) of lease liabilities,,,686,,,,
,Amortized cost,,,61,,,-,
,Unrealized foreign exchange effects,,,,,,,
,Current portion of long-term debt,,(3 113),,,,3 113,
,(Gain)/Loss on bond redemption and other movements,,(316),,,,171,
,Balance at 31 December 2023,,,,,,,
