0,1,2,3,4,5,6,7,8
,North America,,,4.59,,,4.84,
,Middle Americas,,,5.26,,,5.71,
,South America,,,3.76,,,4.07,
,EMEA,,,4.79,,,4.97,
,Asia Pacific,,,5.22,,,6.24,
