0,1,2,3,4,5,6,7
,.,,,,,,
,Weighted average number of ordinary and restricted shares at 31 December,,2 003,,,2 016,
,"Effect of share options, PSUs and restricted stock units",,,,,,
,Weighted average number of ordinary and restricted shares (diluted) at 31 December,,,2 044,,2 054,
