0,1,2,3,4,5
,,,,,
,Net increase/(decrease) in cash and cash equivalents,,,,
,Cash and cash equivalents less bank overdrafts at beginning of year,,,,
,Effect of exchange rate fluctuations,,,,
,Cash and cash equivalents less bank overdrafts at end of period,,,20,
