0,1,2
,,
(698),,
(142),,
963,,
124,,
387,,
(105),,
529 592 (466) 544 (142),,
392 225 141 15 12,,
921 817 (324) 559 (130),,
326 157 53 25 92,,
830 45 765 - 20,,
984 984,,
(538) (538),,
133 133,,
113 113,,
123,45,78
16 (4) - 20,,
"2,077 1,018 494 584 (18)",,
