0
679 (333) 26 373 533 (160)
(88) 25 (1) (64) 39 (103)
360 (9) 13 364 369 (5)
184 (25) (9) 151 207 (56)
193 (61) 20 152 179 (27)
496 (198) 20 319 365 (47)
730 (222) 33 541 541
(317) 317
"2,556 (823) 102 1,835 1,916 (81)"
