0,1,2,3,4,5,6
2024,2023,2024,2023,2024,2023,2024
(531),(404),(416),(182),(205),"(1,097)","(1,152)"
(242),(118),(131),(137),(134),(508),(507)
(773),(522),(547),(319),(339),"(1,605)","(1,659)"
496,442,465,166,189,"1,089","1,150"
,,,,(1),,(1)
(277),(80),(82),(153),(151),(516),(510)
,,,,,,
,,,8,7,8,7
