0
2024
"EY NL¹ EY Total
Network"
8.9 5.5 14.4
8.9 3.0 11.9
2.5 2.5
1.9 0.3 2.2
1.6 1.6
0.3 0.3 0.6
""
""
10.8 5.7 16.6
