0,1,2
"Non-current
Non-current Non-current financial assets
financial assets financial assets at Amortized
at FVTP&L at FVTOCI cost Total",,
138 68 7 213,,
,,
32 5 1 37,,
(47) (4) - (52),,
3 3,,
(20),-,(20)
2 2,-,4
(14) (14),,
90 74 8 173,,
