0,1
Year BES improvement,
"2022 • BES Ambassador training at our manufacturing sites
• Manufacturing sites delivered some 80 potential measures to enhance biodiversity on-site
• Tracked BES performance at our manufacturing sites with a ecosystem services mapping tool
to identify ecosystems that provide services to our facilities",
"2023 • Implemented 23 biodiversity improvement measures selected for manufacturing sites
• Completed activities, as planting native trees in India, creating flower gardens in China, and
creating habitats for endangered bee species in Central America",
2024,"• Established an internal metric to drive biodiversity activities in manufacturing sites based on
land-use
• Implemented 16 BES improvements on 21,000 m2 in our manufacturing sites
• Implemented four BES improvements impacting 35,000 m2
• Supporting and engaging with local communities"
