0
2024
"Weighted
average grant-
Shares date fair value"
""
"5,392,035 27.22"
"2,265,462 28.94"
"218,782 24.35"
"(169,524) 50.30"
"(451,052) 25.07"
"(788,865) 50.65"
"6,466,838 24.41"
""
""
"3,261,048 29.73"
"1,733,891 31.07"
"142,892 26.85"
"(80,151) 61.37"
"(489,195) 28.35"
"(377,857) 61.37"
"4,190,628 26.89"
