0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,"EL; N/EL
(f)","EL; N/EL
(f)","EL; N/
EL (f)","EL; N/
EL (f)","EL; N/EL
(f)","EL; N/EL
(f)",,,,,,,,,
"CCM4.
1/
CCA4.
1",0,0%,EL,EL,N/EL,N/EL,N/EL,N/EL,,,,,,,,0%,
"CCM4.
16/
CCA4.
16",0,0%,EL,EL,N/EL,N/EL,N/EL,N/EL,,,,,,,,0%,
"CCM7.
2/
CCA7.
2/
CE3.2",23.12,2.3%,EL,EL,N/EL,N/EL,EL,N/EL,,,,,,,,3.1%,
"CCM7.
3/
CCA7.
3",0.03,0%,EL,EL,N/EL,N/EL,N/EL,N/EL,,,,,,,,0.4%,
"CCM7.
4/
CCA7.
4",0,0%,EL,EL,N/EL,N/EL,N/EL,N/EL,,,,,,,,0%,
"CCM7.
5/
CCA7.
5",0,0%,EL,EL,N/EL,N/EL,N/EL,N/EL,,,,,,,,0%,
"CCM7.
7/
CCA7.
7",23.29,2.3%,EL,EL,N/EL,N/EL,N/EL,N/EL,,,,,,,,0%,
CE1.2,556.60,55.8%,N/EL,N/EL,N/EL,N/EL,EL,N/EL,,,,,,,,53.5%,
CE4.1,51.49,5.2%,N/EL,N/EL,N/EL,N/EL,EL,N/EL,,,,,,,,4.3 %,
CE5.1,10.42,1.0%,N/EL,N/EL,N/EL,N/EL,EL,N/EL,,,,,,,,0.9%,
CE5.2,0.26,0%,N/EL,N/EL,N/EL,N/EL,EL,N/EL,,,,,,,,0%,
